wallet	window	event_time	event_type	sol_amount_lamports	supporting_flow_count	flow_ref	created_at
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769139807	WHALE_TX_BUY	10132079080	1	3VhMs6hNRS3GsGSqziLZBZ9bfSJTM3kRAuDiUjwoixPQF9dbmwdjvSACbbLQ2Yge2oK3suqFrqUXP39PHq66gapr	1769139807
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769142876	WHALE_TX_BUY	10113079080	1	3NVEB8zPpvT498cMoXX7dAffc42o5xUYdMwkuHHysqztSzXPammpMSci6qjRPE71rFh5M7D74iucXEpoSYeeZQPW	1769142876
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769144125	WHALE_TX_SELL	10373654317	1	33XWs8RrU93QnVHkQRgwBcRWcYPxutwTD1zTH7RYNUDFcTr7ZuyHDb93gxBnjv1RQ9MEU6KA5y15SuSP5LTwAY54	1769144125
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769185164	WHALE_TX_BUY	16232267194	1	4MbdiovZZg9K7wM3adatXyUtGu3GnpPuWU1pxNZNL5ebegUMJoWsjJRQqZ2VhhdpxWAgrn52bDmj17Nbsy7LSgS3	1769185164
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769186287	WHALE_TX_BUY	10132079080	1	32gBGHgJQvr5qFHxxLVKTtPGDCou8STxPbzJX6B1wxMKhwYoWfPjcKU8pBFGire5J9ywqFKVVfVwrcM1NpfC6AwB	1769186287
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769186925	WHALE_CUM_24H_BUY	52712553714	6	29fmFLLH57uXBa8VdJCx3A4dJeyz1RS4TdsQYgAFv57nXAkTVoDiuMJgncyBBpnAmhTSvpUfdaWjzF3WJGe5n5fr	1769186925
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769187007	WHALE_CUM_24H_BUY	57773558714	7	3WYyhqpdGhPVVovWPpBmHK5dHgQGaWjaHfMd4FFRseRRU6hpzMNqSJCqYtrwUknzMokao525VorkhHQcvJ5bRUvY	1769187007
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769187680	WHALE_CUM_24H_BUY	59804563714	8	3XRixrV2v2RHLPo9mEymjBvYubXiftNYPpzxwm4PsEfCdpgi7urDgQvuYEKgT8LfM3xLpCXHYvouLkrJXaYEMpXM	1769187680
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769188577	WHALE_TX_BUY	84870005000	1	34TNjhz9gbyWHHqHSbvsZgvPNY5QrzER64rAZaKa6CTzKmh3qP1gLy5GvsvxBB8xRpvG6ZqrwCKz33o6yyFY4DKV	1769188577
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769188577	WHALE_CUM_24H_BUY	144674568714	9	34TNjhz9gbyWHHqHSbvsZgvPNY5QrzER64rAZaKa6CTzKmh3qP1gLy5GvsvxBB8xRpvG6ZqrwCKz33o6yyFY4DKV	1769188577
