wallet	window	side	asof_time	amount_lamports	supporting_flow_count	flow_ref	first_seen_time	first_seen_flow_ref	is_whale
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	buy	1769739079	456212880701	44	2T8QRmYASHEbJCzGNejwzsrw8Qce1sPwTn6GqhV8sztmy4HfDWS1RYAeYJuenUwMRWvgLxys5PATAR61uNuqTNKw	1769186925	29fmFLLH57uXBa8VdJCx3A4dJeyz1RS4TdsQYgAFv57nXAkTVoDiuMJgncyBBpnAmhTSvpUfdaWjzF3WJGe5n5fr	1
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	sell	1769739392	325724522703	34	4wzGvNV22Wxh7e5FSCn5S6Me3jxP7ABYoo9LH6ssHvSXV3z8itmiEJHAvPptXYgYrnJFHr8riFS5AhDejhvvQBtE	1769197179	4emybRWgQE5bH3SBCVjj7uu7foTkKaB8qNGTUDrU5b2oFXhH4Lcq4hvZFie4XwYMRn1v1tMbXMp2anogAG2ogAU	1
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	7d	buy	1769739079	2950691860459	273	2T8QRmYASHEbJCzGNejwzsrw8Qce1sPwTn6GqhV8sztmy4HfDWS1RYAeYJuenUwMRWvgLxys5PATAR61uNuqTNKw	1769197196	2fKuEkkuMmxYn7munggg3YGFyotuLXRMvzDgDTcLo4msJ7VVe95wzfaLAD8z6czw7Hnv856XduvWzs4bf5iCKQ3r	1
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	7d	sell	1769739392	2452146777151	280	4wzGvNV22Wxh7e5FSCn5S6Me3jxP7ABYoo9LH6ssHvSXV3z8itmiEJHAvPptXYgYrnJFHr8riFS5AhDejhvvQBtE	1769266741	djwzF2DynBnecoypFfvHXAXXEqh7HDj93XURiCp5xUPVxRUucTJsL9C8MpF1pyf5tux3PCLLkZPB91FrDAnc4Yt	1
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	buy	1769734449	19000546350	1	5o7rNWsFyrhGRndZLc3azdpLCcZG8zvMJfDh2Hn74SzM2c5aD317ddyxALKWbiAwrqdsupBkWZzbHST3mKsXjMXw	1769139807	3VhMs6hNRS3GsGSqziLZBZ9bfSJTM3kRAuDiUjwoixPQF9dbmwdjvSACbbLQ2Yge2oK3suqFrqUXP39PHq66gapr	1
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	sell	1769737742	34288860052	1	45S8sGKpGmwwrwEWdZhiguA5BgnKaR4NLGAYLx4EqzngiTT3ashR9LvTHhMV5u3xwEun2WbKKva7BcxaYydsd4NR	1769144125	33XWs8RrU93QnVHkQRgwBcRWcYPxutwTD1zTH7RYNUDFcTr7ZuyHDb93gxBnjv1RQ9MEU6KA5y15SuSP5LTwAY54	1
274vmGgKuYQp8Fxvb8n3cr9ZeY3SYM6LgeaXM6jS2nD6	24h	sell	1769326284	451080025879	19	34hGbCgg7WLCEUniAFvjHGREGJue9VoeU38Pe5XYfy9CfNTtJwRFvM81YkGu4w3QHjzNy8yJN3TbgmzGBVwdgjPA	1769177213	35LNcXcefuBR6G3wYsGoidLmeReeAtkrT7VBCxiQ7Rz1yAMeCo2YbVMkWzpkxy4JQZiedu4xKGxXbERisQDDWs7M	1
274vmGgKuYQp8Fxvb8n3cr9ZeY3SYM6LgeaXM6jS2nD6	7d	sell	1769613240	659762326820	29	N25VMR7ZpHLP3YVnnpFyvdDKNguo64EfDiHc6F7kC5DiBBaXDxWa9FUoDbhRi3bgiAUu9CvA1H77dEALpRPYEy5	1769241702	2ZYvHjRMu69FfrEJHwyGia3UJX1T6BgjUSefYc2r5TtrsYMAW7GqhGqLiRAn49jHHUmYhr3xhE6Xz3aiEu9PXUam	1
274vmGgKuYQp8Fxvb8n3cr9ZeY3SYM6LgeaXM6jS2nD6	lifetime	buy	1769632997	10110005001	1	5xRUAidvmBvRYCfsevyEtfTcPBTQ3BvGch4rY4ewjp8atkR7KZRMpW1Rn3rw483SDfrgirF4ChgCKqaEGcZe8kZF	1769632974	4mQGjftcjX2n3P1kQ3v3hRYbPs3mBPXZDZd2zi3SB95mHQjkPhExfRJP1DecTYY8JQKydUt5u9Gb2e4UKP8eJBpV	1
274vmGgKuYQp8Fxvb8n3cr9ZeY3SYM6LgeaXM6jS2nD6	lifetime	sell	1769613240	13968093824	1	N25VMR7ZpHLP3YVnnpFyvdDKNguo64EfDiHc6F7kC5DiBBaXDxWa9FUoDbhRi3bgiAUu9CvA1H77dEALpRPYEy5	1769168619	DVRRUJCBMdaDhhcy5PqWVgPL4MHj5Q4HKgmMJjaDGmxDwpgpAUPekdyF91CvuxEehHtxpKAfg1oCgwu486Pb89r	1
