wallet	window	side	transition_type	event_time	amount_lamports	supporting_flow_count	flow_ref
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	buy	ENTER	1769186925	52712553714	6	29fmFLLH57uXBa8VdJCx3A4dJeyz1RS4TdsQYgAFv57nXAkTVoDiuMJgncyBBpnAmhTSvpUfdaWjzF3WJGe5n5fr
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	sell	ENTER	1769197179	60425324315	13	4emybRWgQE5bH3SBCVjj7uu7foTkKaB8qNGTUDrU5b2oFXhH4Lcq4hvZFie4XwYMRn1v1tMbXMp2anogAG2ogAU
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	7d	buy	ENTER	1769197196	200269634316	20	2fKuEkkuMmxYn7munggg3YGFyotuLXRMvzDgDTcLo4msJ7VVe95wzfaLAD8z6czw7Hnv856XduvWzs4bf5iCKQ3r
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	7d	sell	ENTER	1769266741	203000677021	24	djwzF2DynBnecoypFfvHXAXXEqh7HDj93XURiCp5xUPVxRUucTJsL9C8MpF1pyf5tux3PCLLkZPB91FrDAnc4Yt
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	buy	ENTER	1769139807	10132079080	1	3VhMs6hNRS3GsGSqziLZBZ9bfSJTM3kRAuDiUjwoixPQF9dbmwdjvSACbbLQ2Yge2oK3suqFrqUXP39PHq66gapr
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	sell	ENTER	1769144125	10373654317	1	33XWs8RrU93QnVHkQRgwBcRWcYPxutwTD1zTH7RYNUDFcTr7ZuyHDb93gxBnjv1RQ9MEU6KA5y15SuSP5LTwAY54
274vmGgKuYQp8Fxvb8n3cr9ZeY3SYM6LgeaXM6jS2nD6	24h	sell	ENTER	1769177213	51569979340	4	35LNcXcefuBR6G3wYsGoidLmeReeAtkrT7VBCxiQ7Rz1yAMeCo2YbVMkWzpkxy4JQZiedu4xKGxXbERisQDDWs7M
274vmGgKuYQp8Fxvb8n3cr9ZeY3SYM6LgeaXM6jS2nD6	7d	sell	ENTER	1769241702	212410987777	8	2ZYvHjRMu69FfrEJHwyGia3UJX1T6BgjUSefYc2r5TtrsYMAW7GqhGqLiRAn49jHHUmYhr3xhE6Xz3aiEu9PXUam
274vmGgKuYQp8Fxvb8n3cr9ZeY3SYM6LgeaXM6jS2nD6	lifetime	buy	ENTER	1769632974	10112044281	1	4mQGjftcjX2n3P1kQ3v3hRYbPs3mBPXZDZd2zi3SB95mHQjkPhExfRJP1DecTYY8JQKydUt5u9Gb2e4UKP8eJBpV
274vmGgKuYQp8Fxvb8n3cr9ZeY3SYM6LgeaXM6jS2nD6	lifetime	sell	ENTER	1769168619	14734083838	1	DVRRUJCBMdaDhhcy5PqWVgPL4MHj5Q4HKgmMJjaDGmxDwpgpAUPekdyF91CvuxEehHtxpKAfg1oCgwu486Pb89r
2RssnB7hcrnBEx55hXMKT1E7gN27g9ecQFbbCc5Zjajq	lifetime	sell	ENTER	1769379301	14215211391	1	5o78kK8n6SUywkh2unBR46tqRKk2ABKWwcA6s51W1f6uTpSH39xDv4MU4Z9XaV8D8QNxwPozsoGAhtMNa1NSrzUL
2W14ahXD3XBfWJchQ4K5NLXmguWWcTTUTuHDhEzeuvP3	24h	buy	ENTER	1769239247	50667646487	86	1qTnUEyQxMimPvqeBSbyoMC7YANH7P64oYkovdr1JebLxbe6kNBRittVBR59tK9EjQYzx8j9BBsCE8FjkW9v7M4
2W14ahXD3XBfWJchQ4K5NLXmguWWcTTUTuHDhEzeuvP3	24h	sell	ENTER	1769238003	50484014265	49	2E1WqcEw4QeqypM6reBMDZ9KfYaxer7sMLsd9Ej3kbUKQpTt6bBspFfwMZeinZJSvZaRrvbpawSVtcgy6EoouWVc
